parent_source_uid,split_key,split,source_corpus,relative_upstream_path
83a5c73b335ca563941e14ed904cf51214f6bc3d2f843a22abca89231559406a,1897f3c08ad128489b00612d3accd462b5c27536affc15d4861e001302b1dcf2,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/348308.wav
ee9ca94ae39e5ad1a28ad0655e88b905dd5ea7a00d5ea4b144f5c70d74058406,2de6c51f36e5a8abc6a94fab17d6d9daea342208036f12e202beeaa0bd450d96,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/233049.wav
dcf33ec2245edfa2429911df1fec5e633566e44c80604fb87d15543b9f56d2cc,3ce15e7368a0fdf45d2df30a11ea2eaede93120df7ef387745c13f3d584a5e31,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/157142.wav
0dd156b4733c791669875f97552bc9fd466264489c3676b782f38d907f267b89,4b097fc3131d3c87cbabc610c5851c67bccf04eeaa3d1cb33403b648f3383f87,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/94993.wav
95d2889d63d6971fc89c480f6edd1c22b393c7cbf4892f83cb693e25f7e32f60,4b5c34ac1f541f4942919bd23df96886e22746ee1416d578ee94dca99cb0aeaf,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/368684.wav
a1f7ee8556867bd622de523d5d1c30d422ebe2fe5d38f8b1d24b91f3ad41eedb,55ec6c6696a493d8de888ebdeda1b3d008b9f6be0bb6d25c4719d46fb1f021c5,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/339369.wav
99ee8145fa3620b9bd6074de11a328fb2564b0d4b53414c0aca2623f432f3fbc,75734c674827a9b01d70c8753075171550d9150e8e776a1a8fe833b861e42f3f,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/60989.wav
0e40eca13f92456451a84af507f4d8fc056b6db66f304ced1f86525973125c5e,a42d51f522a1970f60eae42ea22a7d244b944fc77932e413bc10ee14664a989f,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/85550.wav
369dcc324d8e52bcd44272d513d10fe6e179bf6ef7226fb5127edc65c85cf188,b227b89553b0dfed33a0c441074108394e193127e7581bdd69ceba389f91c9ba,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/5364.wav
8e3243e80ccc9bb82a4183d011fba21bad4606f91d223040c1734789a8bbbeec,b3306cfd8e2617f5c7dc0e804c9464e70988265cb1296f091bc7bc4f62d8d590,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/56970.wav
f589e7b335ed8797e30cec874b04595fa8df4a0d850a32f5c363e27ef69fb1c9,b5d3f1032945c482898f72d115be24201e232cc9037905e0fd96e1d581e5fbdd,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/270793.wav
e0fb562eaaff1144c91fbe692a2385166420319157831ea3a0ae7a54bbc2252c,c22a85789b4eee5e650c983667a50eedf47b6a47e474da01d73322012286ad4f,TRAIN,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/178263.wav
7f02cc581b1479c5e634f9d783f4be7313bfff54e2a17ce923da60ace3b70fbc,c4420bdb8f988c662e64ae6467fe466db7ee41d2cfe72eb0a7cebd757009bd4f,VALIDATION,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/104225.wav
445dc2b06dad58cb836270c0151312a06b3d4f3868f5fff89f9b32a2659b5ca4,cc9c74b83be7255ea0b452d13cb0d4a7936488641027bd39a5e3ded35d65b1a0,VALIDATION,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/210033.wav
bba69d4910df2f3b3399a3e2c390d074453884a00485d572792855e184e62c7d,ce48e4f0f395dd98dc82a64a42531284c0a509401382ec3dc8faf9f9dd8f581b,VALIDATION,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/235667.wav
bbd15d05ac7e0139ab6ad406b4de827a97278454ef140c874630d13ce5a5c21a,d400d5d4a712b67b75e37696fb14e9e3478219b95fce9e6fdf1d3d562dbfec4c,VALIDATION,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/68718.wav
0faac5fa7ad25b42a02bb3eeffbef682d2fdaaa94198147d707e8c8d573296e6,ec781289f2f7cc4972be6a3fec8f06efd98e791c549d05ed69ab0a2845746315,TEST,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/370931.wav
adb1fa7c9dff5bc8a24e9d7c5523fc944358d0a1d28152aafaf800b9bdaf1f06,f62b319371fc5b1da39b2363335140157832de27f1d7a7d86c449d646bd8904b,TEST,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/18340.wav
3598cf0af2f54259ebe25cbffbbf286ad873eff00b5bf9cf98378e869ff2db5f,f6638413924035931c9e2e368e25d0d178b9246045275e8b6f26150ce34e0e5c,TEST,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/418523.wav
e74fb3cc5a2576bb55ae4bbd89c4dd3cf530462e832d5badea3d100aa685b339,fb81d253601042492580c9753ebaab3a33533bc2fbb8b92a34fc3c058aa1ed76,TEST,FSDnoisy18k,controlled_freeze/pilot_selected_files_v1.1/FSDnoisy18k.audio_test/38468.wav
edcc4def8e34ce20869c243fe61e58060b0490518ee5376124f86a52f0b3f1b5,229f90d89df65148122b7142d5c34fd05e80aece1223cc837143771567e722a7,TRAIN,IRMAS,controlled_freeze/pilot_selected_files_v1.1/IRMAS-TrainingData/vio/[vio][cla]2138__1.wav
